2
-log(1-x1-x2)-log(x1)-log(x2)
#Iteração 	    | Newton Padrão 	    | Newton Modificado 	| Newton Inexato
0 		        | 5.46083629604581e+00	| 5.46083629604581e+00	| 5.46083629604581e+00
1 		        | 4.34975014622771e+00	| 4.34975014622771e+00	| 4.34975066987787e+00
2 		        | 3.57150332245764e+00	| 4.04265278641358e+00	| 3.57150388574599e+00
3 		        | 3.32290880078183e+00	| 3.43497030234239e+00	| 3.32290884343149e+00
4 		        | 3.29620081495115e+00	| 3.35834770199045e+00	| 3.29620082094765e+00
5 		        | 3.29583691254300e+00	| 3.29814407750556e+00	| 3.29583691255267e+00
6 		        | 3.29583686600433e+00	| 3.29607062671374e+00	| 3.29583686600449e+00
7 		        | 3.29583686600433e+00	| 3.29583688528692e+00	| 3.29583686600434e+00
8 		        |	                | 3.29583686601051e+00	| 3.29583686600433e+00
9 		        |   	                | 3.29583686600433e+00	| 
Tempo total 	| 4.51660156250000e-02	| 3.68652343750000e-02	| 4.71191406250000e-02
Tempo derivadas | 5.49316406250000e-02	| 5.49316406250000e-02	| 5.49316406250000e-02
Tempo SL 	    | 4.15039062500000e-03	| 1.95312500000000e-03	| 1.00097656250000e-02
